request_id,conversation_id,send_time,ttft_time,total_time,tokens_in,tokens_out,ttft,tpot
8b136782-57b1-4dc1-8070-a9916ca975f1,e89d00a2-aef6-4faf-a8f6-58052acdc0b2,294147.993758641,294149.21451414103,294150.145460115,3458,33,1.2207555000204593,0.9309459739597514
2b561334-ac1c-4d0c-ac9d-c45f8f86637c,5fcd7bbd-da7e-4afa-95ef-18c316df5c14,294147.993815427,294149.718938318,294150.52715775004,6292,18,1.7251228910172358,0.8082194320159033
c2b1c875-937a-45a8-b604-d9ce1c41b6a8,2c6c787f-ce0d-46f8-8c82-65f2ac219c19,294151.628351724,294152.722776631,294153.279067955,6270,23,1.0944249070016667,0.556291323970072
913e9eec-064d-471a-96f2-fdcca54d587b,c7558f93-f86c-4355-a7b9-c08b9ddff562,294151.154893344,294153.040837018,294153.876479219,5876,16,1.885943674016744,0.8356422010110691
c2a7afd5-871e-443b-bf5c-6407f2f36597,5dd975b0-30ab-46b6-96e0-39b315e33c7d,294151.938074959,294153.61316697596,294154.464433092,5788,30,1.675092016987037,0.8512661160202697
9ec42470-11a5-4e91-8f44-120c67d56275,a1329327-31f8-4e0e-8c96-d4c38c61242d,294147.993725926,294149.02222603,294154.902927785,1706,200,1.0285001040319912,5.880701754998881
39ce8e68-7da8-4d92-807d-d47eff611da1,b87d1b47-75a0-4129-8580-a96e0868928f,294144.495652074,294148.99075711204,294154.980936738,5528,200,4.495105038047768,5.99017962598009
27b61af9-f3a1-43b3-8feb-a5be81978e3f,db7e9f5d-8a61-4add-b03f-97cfb3b8ea31,294147.993689388,294149.198707575,294154.98029421596,2053,200,1.2050181869999506,5.781586640980095
f40a1d44-e68c-43cd-8116-3a82fd102124,a5fcfe4e-eb51-4ac0-b8bc-d87496e3d9cb,294147.993659892,294148.99015109404,294155.11164530803,1428,200,0.9964912020368502,6.121494213992264
803b7c61-6284-40f8-9ffe-b15ec3657e93,2578c165-88d2-4fcf-8239-ee23a11cde02,294147.993749174,294149.67478544003,294155.002072593,6458,200,1.6810362660326064,5.32728715299163
f6be8bd3-6f97-48c5-bb74-5521d1d2c339,dcff9a1f-a60c-4377-8789-154950a7f139,294147.99383289,294149.826862613,294155.069417582,6195,200,1.8330297229695134,5.242554969037883
83f9c9d7-a37e-462d-a255-149796d3d743,7566167e-bf47-4f1f-b7d0-e3cef448181a,294147.993715675,294149.2478853,294155.107165638,2344,200,1.254169624997303,5.859280337987002
