request_id,conversation_id,send_time,ttft_time,total_time,tokens_in,tokens_out,ttft,tpot
df2513cf-495c-4540-b06c-35a2afede460,7fa539a3-327c-4904-8457-bece3d9301ba,519362.221872397,519363.50741978904,519366.10539857903,63,300,1.2855473920353688,2.5979787899996154
a7ebf85a-586a-457c-9a91-9be1918db79a,febfbf8a-3c25-4f2e-b573-8371dbccec81,519363.265038181,519363.533423142,519366.132280581,9,300,0.2683849610039033,2.5988574390066788
9cedaeb4-0663-4a6a-8ae3-dc1b39ad1374,669a9e4f-523b-4fc8-b244-1a70f59fb0da,519363.502035298,519363.534548099,519366.13255727896,15,300,0.03251280100084841,2.5980091799865477
ba9bab1f-76f7-40ea-b4fc-920132165c31,7475b02d-4c48-45f2-bf60-be1ec5bdcc7b,519363.243150567,519363.532480588,519366.132745058,4,300,0.28933002101257443,2.600264469976537
d436734f-77e8-4c7a-8a53-1ff3156c0af2,d6c14afa-765f-4769-8212-dda5393135c9,519363.556702447,519363.607944488,519366.20386228,16,300,0.05124204099411145,2.5959177920012735
013bab0e-085b-4aa7-a69f-10e42631a206,16270dae-ad49-4868-8c6f-614e1ca3cc49,519364.094063736,519364.16326943197,519366.855162211,50,300,0.06920569599606097,2.6918927790247835
ea958299-4e68-4198-ada4-3df28d79f5ec,f25f5a82-5400-4755-a762-8566900de925,519364.257609642,519364.424789631,519367.12749377097,8,300,0.16717998898820952,2.702704139985144
7c9fa39f-5a28-4331-81f9-6f54f0f9b369,a2ae4b0f-6151-4dc9-beb8-583cb12c9abb,519364.301617738,519364.46426248597,519367.13236172096,727,300,0.16264474799390882,2.6680992349865846
cf032917-3d6c-41c3-883f-03935b2e9525,9c6a48f0-de1f-40c2-a9f1-67f21c4d9484,519365.130174244,519365.618228933,519368.2143815,5192,300,0.48805468901991844,2.596152566955425
c1805b95-1c6b-400a-9f76-eb34d79e6177,83cc0c5a-e2bd-4f69-8d64-5c0e6fff31df,519363.181708605,519363.55953882006,519368.26075490704,271,300,0.3778302150312811,4.701216086978093
84124d20-79ba-4de3-9651-40eddfdee154,80af4739-0f6f-4ba5-b8f0-6b4406b15b46,519365.400994745,519365.687381248,519368.306959038,1294,300,0.28638650296488777,2.6195777900284156
83cd0a7f-6e3d-457c-b0e2-f73c9be92570,b287e2e3-29d9-4ed9-8e2d-facd84ce0aea,519365.836521169,519366.133963907,519368.724581713,62,300,0.29744273802498356,2.5906178059522063
9b987c28-2237-4aef-a1e4-c1487fd7a37f,b25b8c92-a5ec-4b3b-a0df-7432cd8537ee,519366.360704959,519366.41537319904,519368.96817114303,67,300,0.05466824001632631,2.5527979439939372
73ac4877-3042-4b7e-a0de-6b73e4938ef8,ae40f1fa-c8e2-4da5-90c7-da826f2d9599,519364.747639478,519364.99666099,519369.62806566,10,300,0.24902151199057698,4.6314046700135805
24b887f2-871b-4dea-8c0f-dafab6c86fdc,7b9b4f1c-cea0-43a0-b302-7f47182fec70,519365.709910487,519366.006315762,519369.840970498,13,300,0.29640527500305325,3.8346547359833494
a7642b9e-5ac2-4e7c-9ba6-54bf6b0c7e93,6bc145f5-08ca-455c-b2e8-f2d10b80d705,519367.213666923,519367.315562987,519369.823950078,257,300,0.10189606400672346,2.508387090987526
1a7bd19c-a44c-4f78-9eef-52ca32757171,b12948c9-986d-4e79-b7c7-8f77a76a2588,519367.308380495,519367.400870234,519369.909558872,5,300,0.09248973900685087,2.508688637986779
b77015dd-1670-4d79-a66f-a3dd381ecf21,ff935625-1c77-4623-8335-c83e18c90ab7,519367.48676885,519367.559523533,519370.045909137,16,300,0.07275468297302723,2.486385604017414
